Region,District,HF,Expected reports,Actual reports,dropout rate,DPT3,PCV 3,wastage rate
Bukedi,Tororo District,Makawari Health Centre II,1,1,-28,23,23,
Kampala,Kampala District,Makayi Medical Centre,1,0,,,,
Kampala,Kampala District,Makerere University Business School (MUBS) Clinic,,,,,,
Kampala,Kampala District,Makerere University Hospital,1,1,,,,
Kampala,Kampala District,Makerere University Walter Reed Clinic,1,1,,,,
Bugisu,Mbale District,Makhai Health Centre II,1,1,0,31,51,-340
Bugisu,Mbale District,Makhonje Health Centre III,1,1,-8,27,27,7.5
North Central,Buikwe District,Makindu Health Centre III,1,1,36,29,29,-4.4
Kampala,Kampala District,Makindye Barracks Health Centre III,1,1,19,13,13,-100
Kampala,Kampala District,Makindye Domicilliary Clinic,1,1,43,4,3,-30
Kampala,Kampala District,Makindye Maternity Home,1,1,27,8,7,0
Kampala,Kampala District,Makindye Medical Centres,1,0,,,,
Kampala,Kampala District,Makindye Police Health Centre III,,,,,,
Kigezi,Kanungu District,Makiro Health Centre III,1,1,-183,17,17,61.1
North Central,Kassanda District,Makokoto Health Centre III,1,1,-29,27,37,50.5
South Central,Lwengo District,Makondo Health Centre III,1,1,16,27,29,9
North Central,Buikwe District,Makonge Health Centre III,1,1,14,31,30,16.4
North Central,Kassanda District,Makonzi (Mubende) Health Centre II,1,1,0,2,2,0
South Central,Masaka District,Makonzi Health Centre II,1,1,20,4,4,
South Central,Wakiso District,Makooba Clinic,1,0,,,,
South Central,Wakiso District,Makooba Health Care Clinic,,,,,,
South Central,Sembabule District,Makoole Health Centre II,1,1,13,28,28,20
South Central,Bukomansimbi District,Makukuulu Health Centre III,1,1,6,44,44,4.6
Kampala,Kampala District,Makula Health Services,,,,,,
North Central,Luwero District,Makulubita Health Centre III,1,1,39,17,17,23.8
North Central,Luwero District,Makulubita Prisons Clinic,1,1,,,,
South Central,Wakiso District,Makutano Medical Centre,1,0,,,,
Busoga,Bugweri District,Makuutu Health Centre III,1,1,41,30,30,5.2
Bukedi,Tororo District,Malaba Health Centre III,1,1,4,66,66,-19.4
Bukedi,Tororo District,Malaba Police Health Centre II,1,1,,,,
Kampala,Kampala District,Malalikka Medical Centre,1,1,,,,
West Nile,Obongi District,Malanga Health Centre II,1,1,10,9,9,6.7
North Central,Mityana District,Malangala Health Centre III,1,1,15,29,29,0
North Central,Mubende District,Malaria Eradication Project Health Centre II,1,1,-25,5,5,76
Kampala,Kampala District,Malcom Clinic (Kisaasi),1,1,,,,
Kampala,Kampala District,Malcom Health Care (Kabowa),1,1,,,,
Kampala,Kampala District,Malcom Health Care (Kyanja),1,1,32,19,19,0
Kampala,Kampala District,Malcom Health Care Centre (Kibuye II),1,1,50,7,7,
Kampala,Kampala District,Malcom Health Care Centre (Ntinda),,,,,,
Kampala,Kampala District,Malcom Health Centre (Kabowa),,,,,,
Kampala,Kampala District,Malcom Medical Centre (Kasubi),,,,,,
Kampala,Kampala District,Malcom Medical Centre (Kawaala),1,0,,,,
South Central,Wakiso District,Malcom Medical Health Centre III,1,1,-36,15,1,
Bunyoro,Kikuube District,Malembo Health Centre III,1,1,,,,
Teso,Bukedea District,Malera Health Centre III,1,1,-2,90,90,-6
Tooro,Kamwenge District,Malere Health Centre II,1,1,1,71,71,14.3
Tooro,Kasese District,Mali-Mali Medical Centre,1,1,,,,
Tooro,Kasese District,Maliba Health Centre III,1,1,-12,37,37,-18.8
Tooro,Kasese District,Maliba Prisons Health Centre II,,,,,,
Ankole,Buhweju District,Malinde Health Centre II,1,0,,,,
Bukedi,Tororo District,Maliri Health Centre II,1,1,5,18,18,10
Busoga,Mayuge District,Malongo Health Centre III,1,1,11,402,452,
South Central,Wakiso District,Maltel Medical Clinic,,,,,,
Busoga,Kamuli District,Malugulya Health Centre II,1,1,39,23,23,-56.9
Bugisu,Mbale City,Malukhu Health Centre III,1,1,29,32,32,-132
Acholi,Omoro District,Mama Chef Clinic,,,,,,
Lango,Oyam District,Mama Jovanh Drugshop,,,,,,
South Central,Wakiso District,Mama Medical Care Clinic,,,,,,
South Central,Gomba District,Mamba Health Centre III,1,1,-60,16,16,12.5
Ankole,Isingiro District,Mamu Medical Centre Health Centre II,1,1,,,,
Kampala,Kampala District,Man Clinic,,,,,,
Kampala,Kampala District,Mani Fold Medical Centre Kubiri,1,0,,,,
Tooro,Bundibugyo District,Mantoroba Health Centre II,1,1,-90,74,74,0
North Central,Mukono District,Maol Health Services,1,1,,,,
North Central,Kayunga District,Mapeera Health Centre II,,,,,,
Busoga,Bugweri District,Mapp Medical Centre,,,,,,
Lango,Oyam District,Mar En Rwot Health Centre II,1,0,,,,
West Nile,Maracha District,Maracha Health Centre IV,1,1,2,55,55,17
Bukedi,Budaka District,Marah Health Centre II,,,,,,
Tooro,Fort Portal City,Maranatha Health Centre III,1,1,,,,
South Central,Wakiso District,Maranatha Medical Clinic,,,,,,
Bunyoro,Kikuube District,Maratatu D Health Centre III,1,1,,,,
Bunyoro,Kikuube District,Maratatu Health Centre III,1,1,,,,
Kampala,Kampala District,Marc Medical Centre,1,0,,,,
Kigezi,Kisoro District,Maregamo Health Centre III,1,1,0,17,17,-8.7
Kampala,Kampala District,Margaret Dormicilliary Clinic,1,0,,,,
South Central,Wakiso District,Margret Medical Health Centre III,1,1,,,,
South Central,Wakiso District,Margrets Care Clinic,,,,,,
South Central,Wakiso District,Margros Medical Clinic,,,,,,
Bukedi,Tororo District,Mari Beri Clinic,1,1,,,,
South Central,Butambala District,Maria Assumpta Health Centre III,1,1,-200,3,3,37.5
Kampala,Kampala District,Maria Asumputa Domicilliary Clinic,1,0,,,,
Kampala,Kampala District,Maria Hana Health Care Ntinda,,,,,,
Kampala,Kampala District,Maria Health Care,1,1,,,,
Kampala,Kampala District,Maria Healthcare Clinic,,,,,,
South Central,Sembabule District,Maria K MC Clinic,,,,,,
Kampala,Kampala District,Maria Kiwamirembe Clinic,1,0,,,,
Busoga,Iganga District,Maria Medical Centre,1,1,,,,
Kampala,Kampala District,Maria Thereza Domiciliary Clinic,1,1,38,10,10,15.7
South Central,Masaka City,Maria-al-kaabi Health Centre III,1,1,,0,1,
Kampala,Kampala District,Mariam Domiciliary Clinic,1,0,,,,
South Central,Masaka City,Mariam Domicilliary,1,1,20,8,8,-30
Kampala,Kampala District,Mariam Med & Lab,1,0,,,,
Kampala,Kampala District,Mariam Medical Care Clinic,,,,,,
South Central,Wakiso District,Mariam Medical Clinic,,,,,,
Kampala,Kampala District,Mariam Medical Clinic (Bwaise III),1,1,,,,
Kampala,Kampala District,Mariam Medical Clinic (Kawempe I),,,,,,
North Central,Mukono District,Mariam Nursing Home,1,1,-20,6,6,
North Central,Luwero District,Mariana Maternity Home,1,1,,,,
Kampala,Kampala District,Marie Stopes Uganda (Kawempe),1,0,,,,
Kampala,Kampala District,Marie Stopes Uganda (Lugogo),1,1,,,,
Kampala,Kampala District,Marie Stopes Uganda (Namuwongo),1,1,,,,
West Nile,Arua City,Marie Stopes Uganda Arua Health Centre II,1,1,67,1,1,50
South Central,Wakiso District,Marie Stopes Uganda Bweyogerere Health Centre II,1,1,,,,
Tooro,Fort Portal City,Marie Stopes Uganda Fort Portal Health Centre II,1,1,,,,
Acholi,Gulu City,Marie Stopes Uganda Gulu Health Centre II,1,1,,0,0,
Busoga,Jinja City,Marie Stopes Uganda Jinja Health Centre II,,,,,,
Kigezi,Kabale District,Marie Stopes Uganda Kabale Health Centre II,1,1,,,,
South Central,Wakiso District,Marie Stopes Uganda Kira Health Centre II,1,0,,,,
Lango,Lira City,Marie Stopes Uganda Lira Health Centre II,1,1,,,,
South Central,Masaka City,Marie Stopes Uganda Masaka,1,1,,,,
Bugisu,Mbale City,Marie Stopes Uganda Mbale Health Centre II,1,1,,,,
Ankole,Mbarara City,Marie Stopes Uganda Mbarara Health Centre II,1,1,,,,
Teso,Soroti City,Marie Stopes Uganda Soroti Health Centre II,1,1,,,,
Bukedi,Tororo District,Marie Stopes Uganda Tororo Health Centre II,1,1,,,,
Bunyoro,Hoima City,Marie stops Health Centre II,1,0,,,,
Kampala,Kampala District,Marina Dental Care,1,0,,,,
North Central,Buikwe District,Marina Medical Centre,,,,,,
Bunyoro,Buliisa District,Marine Military Health Centre III,1,1,,,,
North Central,Luwero District,Marion Yamba Medical Centre,1,1,-78,16,15,
Kampala,Kampala District,Marita Dom. Clinic,,,,,,
Kampala,Kampala District,Market Street Medical Cenntre,1,0,,,,
Busoga,Jinja City,Maro Clinic,,,,,,
North Central,Mukono District,Marocord Health centre,1,1,,,,
Kampala,Kampala District,Maroon Clinic,,,,,,
Kampala,Kampala District,Marry Heart Clinic,,,,,,
Kampala,Kampala District,Mars Medic Al Centre,,,,,,
South Central,Masaka City,Martha Allied Clinic,,,,,,
Kampala,Kampala District,Martyr'S Family Clinic,1,0,,,,
Kampala,Kampala District,Martyr's Family Clinic and Maternity Home (Gaba),1,1,94,1,1,21.3
Kampala,Kampala District,Martyrs Clinic and Maternity Centre,,,,,,
Lango,Oyam District,Martyrs Medical Clinic,1,0,,,,
Kampala,Kampala District,Martys Maternity,1,1,50,10,10,0
Kigezi,Rukungiri District,Marumba Health Centre II,1,1,-300,4,,
Lango,Apac District,Maruzi Prisons Clinic,,,,,,
Kampala,Kampala District,Marvin Allied Clinic,,,,,,
Kampala,Kampala District,Mary Clinic (Rubaga),,,,,,
Acholi,Pader District,Mary Immaculate Health Centre II,,,,,,
Ankole,Ntungamo District,Mary Queen Of Heaven Community Medical Centre,1,1,,,,
Acholi,Gulu City,Mary Queen Of Peace Health Centre III,1,1,-20,12,12,10.8
South Central,Wakiso District,Mary's Medical Care Unit Health Centre II,,,,,,
West Nile,Adjumani District,Maryland Kocoa Health Centre III,1,1,-14,42,42,19.3
Kampala,Kampala District,Mas Medical Clinic,1,0,,,,
Kampala,Kampala District,Masaba Consultative Clinic,,,,,,
Bukedi,Busia District,Masafu General Hospital,1,1,6,103,103,1.2
Bukedi,Busia District,Masafu Prisons Health Centre II,1,1,,,,
South Central,Wakiso District,Masajja Dental Clinic,,,,,,
South Central,Wakiso District,Masajja Kyabagu Health Centre III,1,1,58,11,11,44
South Central,Wakiso District,Masajja Nursing Home Health Centre III,1,1,0,40,40,
North Central,Kayunga District,Masaka Health Services Health Centre II,1,1,,,,
South Central,Masaka City,Masaka Municipal Clinic,1,1,8,59,66,-71.7
South Central,Masaka City,Masaka Police Health Centre III,1,1,64,5,5,80
South Central,Masaka City,Masaka Prisons Health Centre III,1,1,25,6,6,35.7
South Central,Masaka City,Masaka Regional Blood Bank,,,,,,
South Central,Masaka City,Masaka Regional Referral Hospital,1,1,27,121,121,-91.7
South Central,Masaka City,Masaka Women Prisons Health Centre II,1,1,,,,
South Central,Masaka City,Masaka-Ssaza Prisons Health Centre II,1,1,,,,
Kampala,Kampala District,Mascot Medical Clinic,1,0,,,,
Busoga,Kamuli District,Mase Medical Health Centre II,1,1,,,,
Busoga,Jinja City,Masese Danida Health Centre II,1,1,36,28,28,
Busoga,Jinja City,Masese III Health Centre II,1,1,36,28,28,
Busoga,Jinja City,Masese Port Health Centre II,1,1,-12,9,9,4.2
Bugisu,Kapchorwa District,Masha Clinic,1,1,,,,
Bunyoro,Masindi District,Masindi General Hospital,1,1,,,,100
Bunyoro,Masindi District,Masindi Kitara Medical Centre,1,1,-37,33,33,-40.6
Bunyoro,Masindi District,Masindi Main Prisons Health Centre III,1,1,,,,
Bunyoro,Masindi District,Masindi Military Barracks Health Centre,1,1,74,5,5,0
Bunyoro,Masindi District,Masindi Police Barracks Health Centre II,1,1,,,,
Bunyoro,Kiryandongo District,Masindi Port Health Centre III,1,1,-25,25,25,-73
Bunyoro,Masindi District,Masindi Women Prisons Health Centre III,1,1,,,,
Bugisu,Bulambuli District,Masira Health Centre III,1,1,-11,31,31,
Bugisu,Sironko District,Masiyompo Health Centre III,1,1,83,1,1,0
West Nile,Arua City,Masjid Noor Health Centre III,,,,,,
Busoga,Mayuge District,Masolya Health Centre III,1,1,14,19,19,-15.9
South Central,Wakiso District,Masooli School Medical Clinic,,,,,,
Kampala,Kampala District,Mass Medical Centre,,,,,,
North Central,Kyankwanzi District,Massodde Social Service Health Centre II,1,1,60,2,2,40
South Central,Kyotera District,Master Cares Bethlehem Community Hospital,1,1,-67,10,10,-31.3
Bunyoro,Masindi District,Master Doctor Clinic,1,1,,,,
Kampala,Kampala District,Masters medical Centre,1,1,-100,2,1,
Kigezi,Rukungiri District,Masya Health Centre II,1,1,38,8,8,48.8
Kigezi,Rukungiri District,Masya Ngo Health Centre II,1,1,-67,5,5,
Bunyoro,Kibaale District,Matale Health Centre III,1,1,13,61,61,-19.4
Kigezi,Kanungu District,Matanda Health Centre III,1,1,46,20,20,
South Central,Sembabule District,Mateete Health Centre III,1,1,7,101,100,35
South Central,Sembabule District,Mateete Prisons Health Centre II,1,1,,,,
Acholi,Kitgum District,Maternity Home Health Centre II,,,,,,
Busoga,Bugiri District,Matiki Health Centre III,1,1,-12,19,18,306.3
South Central,Kalungu District,Matovu Medical Centre,1,1,,,,
Kampala,Kampala District,Matovu.J Medi Care Clinic,,,,,,
Kampala,Kampala District,Matrix Clinic,,,,,,
Ankole,Sheema District,Matsyoro Health Centre II,1,1,18,14,14,63.3
South Central,Wakiso District,Matuga Health Centre II,1,1,30,46,60,19.1
West Nile,Yumbe District,Matuma Health Centre III,1,1,-3,69,69,12.2
Bukedi,Tororo District,Maundo Health Centre II,1,1,-100,12,12,
Busoga,Iganga District,Mawagala Health Centre II,,,,,,
Kampala,Kampala District,Mawanda Medical Centre,1,0,,,,
Busoga,Bugiri District,Mawanga C. O. G Health Centre II,1,1,-25,5,13,
Kampala,Kampala District,Mawano Dental Clinic,1,1,,,,
Bukedi,Busia District,Mawero Health Centre II,1,1,0,28,28,16
Busoga,Jinja District,Mawoito Health Centre II,1,1,58,8,8,95.9
North Central,Mubende District,Mawujjo Health Centre II,1,1,27,22,23,28
South Central,Gomba District,Mawuki Health Centre II,1,1,32,17,17,-116.7
Busoga,Luuka District,Mawundo Health Centre III,1,1,-20,30,30,1.3
Bunyoro,Kakumiro District,Max Medical Health Centre III,1,1,,,,
South Central,Wakiso District,Maxi Health Medical Centre,,,,,,
Kampala,Kampala District,May Fair Clinic,,,,,,
Kampala,Kampala District,May Medical Centre,1,1,,,,
Kampala,Kampala District,May Medical Centre,,,,,,
Kampala,Kampala District,May Medical Centre,,,,,,
Kampala,Kampala District,Maya Health Centre,,,,,,
Ankole,Mitooma District,Mayanga Health Centre III,1,1,-2,41,41,-1.7
Ankole,Mitooma District,Mayanga Medical Health Centre II,,,,,,
South Central,Kyotera District,Mayanja Health Centre II,1,1,50,3,3,
Kampala,Kampala District,Mayanja Medical Chambers,,,,,,
Ankole,Mbarara City,Mayanja Memorial Hospital,1,1,-16,44,44,0
South Central,Wakiso District,Mayfar Medical Health Centre III,,,,,,
Kampala,Kampala District,Mayinja Medical Centre,1,1,,,,
North Central,Nakasongola District,Mayirikiti Health Centre II (Nakasongola),1,1,-8,13,12,47.8
Kampala,Kampala District,Mayo Clinic,1,0,,,,
Busoga,Mayuge District,Mayuge Community Health Clinic,,,,,,
Busoga,Mayuge District,Mayuge Doctors' Plaza Medical Centre,,,,,,
Busoga,Mayuge District,Mayuge Health Centre IV,1,1,21,34,34,-15.5
Busoga,Mayuge District,Mayuge Police Health Centre II,1,1,,,,
Kigezi,Kabale District,Maziba Health Centre IV,1,1,-93,27,27,80.4
Kigezi,Kabale District,Maziba Parish Health Centre II,1,1,-20,6,6,20
Kampala,Kampala District,Mazima Clinic,,,,,,
Ankole,Kazo District,Mazima Memorial Maternity Clinic,1,1,,,,
South Central,Masaka District,Mazinga Health Centre II,1,1,-12,29,29,11
South Central,Kalangala District,Mazinga Health Centre III,1,1,-290,39,39,-34
Busoga,Bugiri District,Maziriga Health Centre II,1,1,-8,14,14,
Busoga,Namutumba District,Mazuba Health Centre II - Ngo,1,1,,,,
North Central,Luwero District,Mazzi Health Centre II,1,1,-24,36,36,
Kampala,Kampala District,Mb Dental Clinic,,,,,,
Ankole,Isingiro District,Mbaare Health Centre III,1,1,-30,30,29,-2.7
Ankole,Kazo District,Mbaba Community Based Health Care,1,1,-33,4,4,35
Bugisu,Mbale City,Mbale General Clinic,1,1,,,,
Tooro,Kyenjojo District,Mbale Health Centre II,1,1,9,21,21,-295
Bugisu,Mbale City,Mbale Main Prisons Health Centre III,1,1,-33,4,4,
Bugisu,Mbale City,Mbale Municipal Health Centre II,1,1,32,42,42,7.7
Bugisu,Mbale City,Mbale Parent's Clinic,1,1,,,,
Bugisu,Mbale City,Mbale People's Clinic,1,1,-18,13,13,244
Bugisu,Mbale City,Mbale Police Health Centre III,1,1,22,18,18,17.9
Bugisu,Mbale City,Mbale Regional Blood Bank,,,,,,
Bugisu,Mbale City,Mbale Regional Referral Hospital,1,1,40,47,55,-20.1
Bugisu,Mbale City,Mbale SDA Dispensary Health Centre II,,,,,,
Bugisu,Mbale City,Mbale Women Prisons Health Centre II,1,1,,,,
North Central,Mukono District,Mbaliga Health Centre II,1,1,-44,23,23,53.3
Bunyoro,Hoima District,Mbaraara Health Centre II,1,1,7,25,25,13.8
Ankole,Mbarara City,Mbarara Community Hospital,1,1,,1,1,90
Ankole,Mbarara City,Mbarara Main Prisons Health Centre III,1,1,,,,
Ankole,Mbarara City,Mbarara Municipal Council Health Centre IV,1,1,18,135,135,-251.2
Ankole,Mbarara City,Mbarara Muslim Health Centre III,1,1,-22,11,11,66.7
Ankole,Mbarara City,Mbarara Police Health Centre III,1,1,,1,1,
Ankole,Mbarara City,Mbarara Regional Referral Hospital,1,1,22,42,42,21.2
Ankole,Mbarara City,Mbarara Women Prisons Health Centre II,1,1,,,,
Tooro,Kasese District,Mbata  Health Centre II,1,1,,,,
Bugisu,Sironko District,Mbaya Health Centre III,1,1,-17,55,55,-31.7
Bukedi,Busia District,Mbehenyi Health Centre III,1,1,35,40,40,2.5
Tooro,Kasese District,MBH Maternity Health Centre III,1,1,,,,
South Central,Lwengo District,Mbirizi Muslim Health Centre III,1,1,-20,18,18,48
South Central,Lwengo District,Mbirizi St. Francis Health Centre III,1,1,17,65,65,36.3
Kampala,Kampala District,Mbn Clinical Lab,,,,,,
Ankole,Kazo District,Mbogo Health Centre II,1,1,50,11,11,25.8
Kampala,Kampala District,Mbogo Medical Diogostic Clinic,,,,,,
North Central,Mityana District,Mboona Kibaale Health Centre II,1,1,0,14,14,0
South Central,Sembabule District,Mbowa Memorial Clinic,,,,,,
Bukedi,Tororo District,Mbula Health Centre II,1,1,-19,19,19,
Busoga,Kamuli District,Mbulamuti Health Centre III,1,1,6,44,44,189.3
Tooro,Kasese District,Mbunga Health Centre II,1,1,-100,14,15,0
Kigezi,Kisoro District,Mburabuturo Health Centre II,1,1,-37,11,11,
Kigezi,Kanungu District,Mburamizi Army Barracks Health Centre III,1,1,25,3,3,55
Kampala,Kampala District,Mbuya Clinic,,,,,,
Kampala,Kampala District,Mbuya Military Clinic (Mod Garrison),1,1,,0,0,
Kampala,Kampala District,Mbuya Nursing Home,1,0,,,,
Kampala,Kampala District,Mbuya Parents Clinic,,,,,,
South Central,Rakai District,Mbuye Health Centre II,1,1,-62,13,11,58.8
South Central,Wakiso District,Mc Donald Medical Clinic,,,,,,
Tooro,Kyenjojo District,Mcfarland Memorial Medical Health Centre III,1,1,,,,
Ankole,Ntungamo District,Mcneil Medical Centre,1,1,,,,
Kampala,Kampala District,Med Care Kisaasi,,,,,,
Kampala,Kampala District,Med Express Clinic,,,,,,
Bukedi,Tororo District,Med Link Clinic,1,1,,,,
Kampala,Kampala District,Med Safe Clinic,1,1,,,,
South Central,Mpigi District,Med-Life Clinic,1,1,,,,
Lango,Apac District,Med4 Drugshop,,,,,,
North Central,Buikwe District,Medact Clinic,,,,,,
Kampala,Kampala District,Medcar Eye Clinic,,,,,,
Kampala,Kampala District,Medcity Medical Centre,1,0,,,,
Kampala,Kampala District,Medi-Pal International Hospital,1,1,0,1,1,0
Kampala,Kampala District,Medical Clinic,,,,,,
Kampala,Kampala District,Medical Link Clinic,,,,,,
North Central,Luwero District,Medical Plaza-Luwero Health Centre II,1,0,,,,
South Central,Wakiso District,Medical Research Centre,,,,,,
South Central,Wakiso District,Medical Specialist and Family Clinic,,,,,,
Kampala,Kampala District,Medical World,1,0,,,,
South Central,Mpigi District,Medicare (Mpigi) Hospital,1,1,-17,7,7,51.3
Kampala,Kampala District,Medicare Clinic and Nursing Home Ltd,1,0,,,,
Ankole,Bushenyi District,Medicare Community Clinic,,,,,,
Lango,Oyam District,Medicare Drugshop,,,,,,
Lango,Oyam District,Medicare Drugshop,,,,,,
Lango,Kwania District,Medicare Drugshop,,,,,,
Kampala,Kampala District,Medicare Health Professionals College Clinic,1,1,,,,
Kampala,Kampala District,Medicare Kampala Diagnostic Centre,1,1,,,,
Kampala,Kampala District,Medik Health Centre,1,1,0,10,24,
South Central,Wakiso District,Medik Hospital,,,,,,
Bugisu,Kapchorwa District,Mediline Clinic,1,1,,,,
Kampala,Kampala District,Medipal International Hospital,,,,,,
Kampala,Kampala District,Mediqas Medical Centre,1,0,,,,
Kampala,Kampala District,Mediscopy Clinic,,,,,,
Kampala,Kampala District,Mediwell Health Clinc,,,,,,
Kampala,Kampala District,Medix Clinic,1,1,,,,
South Central,Wakiso District,Medline Clinic Kitende,,,,,,
South Central,Lyantonde District,Medpal medical clinic,1,1,,,,
Kampala,Kampala District,Medsafe Hospital,1,1,-88,32,32,5.3
Bukedi,Tororo District,Meeg Medical Centre,1,1,,,,
Kampala,Kampala District,Meeting Point (Kampala),1,1,,,,
Acholi,Kitgum District,Meeting Point Health Centre II,1,1,,,,
South Central,Wakiso District,Meeting Point Wakiso Health Centre II,1,0,,,,
Kampala,Kampala District,Mega Mart Medical,1,0,,,,
Lango,Lira City,Megwa Clinic,,,,,,
Bukedi,Tororo District,Mella Health Centre III,1,1,-30,39,39,-36.7
West Nile,Arua City,Memorial Clinic & Medical Diagnostic Laboratory,,,,,,
South Central,Wakiso District,Mende Health Centre III,1,1,-35,27,27,
Kampala,Kampala District,Mengo Dental Clinic,,,,,,
Kampala,Kampala District,Mengo Doctors Clinic,1,1,-62,21,21,3.6
Kampala,Kampala District,Mengo Hospital,1,1,8,155,161,-16.9
Kampala,Kampala District,Mengo Joint Clinic,,,,,,
Bugisu,Kween District,Mengya Health Centre II,1,1,26,14,14,
Busoga,Mayuge District,Mercies Clinic,1,1,,,,
Kampala,Kampala District,Merck Clinic,,,,,,
Bukedi,Tororo District,Mercy Central Clinic,1,1,,,,
Kampala,Kampala District,Mercy Clasic Clinic,,,,,,
Kampala,Kampala District,Mercy Classic Clinic,1,1,,,,
Kampala,Kampala District,Mercy Clinic (Bukoto II),,,,,,
Kampala,Kampala District,Mercy Clinic (Bwaise I),,,,,,
Kampala,Kampala District,Mercy Clinic (Bwaise II),1,0,,,,
Kampala,Kampala District,Mercy Clinic (Lungujja),,,,,,
Kampala,Kampala District,Mercy Clinic (Naguru I),,,,,,
Kampala,Kampala District,Mercy Clinic (Ntinda),1,1,,,,
Kampala,Kampala District,Mercy Clinic Kawempe Mbogo,1,0,,,,
Bukedi,Tororo District,Mercy Clinic Tororo,1,1,,,,
Kampala,Kampala District,Mercy Consultation Clinic,,,,,,
Lango,Kole District,Mercy Drugshop,,,,,,
Kampala,Kampala District,Mercy General Care,,,,,,
Bunyoro,Kakumiro District,Mercy Health Care Clinic,1,1,-31,38,38,
Kampala,Kampala District,Mercy Medical Centre,1,0,,,,
South Central,Wakiso District,Mercy Medical Health Centre III,1,1,,,,
Busoga,Iganga District,Mercy Medical Iganga Clinic,1,1,,,,
Bukedi,Tororo District,Merikit Clinic,1,1,,,,
Bukedi,Tororo District,Merikit Health Centre III,1,1,27,40,40,5.9
Kampala,Kampala District,Merit Childrens Medical Centre,,,,,,
Lango,Oyam District,Merri-Care Medical Clinic,1,1,,,,
Kampala,Kampala District,Merry Heart Clinic,,,,,,
Teso,Soroti City,Merryland Health Centre II,,,,,,
Kampala,Kampala District,Meta Green Medicare,,,,,,
Kampala,Kampala District,Meta Medical Centre,,,,,,
West Nile,Arua City,Metro Clinic,,,,,,
Kampala,Kampala District,Metro Health Medical Centre,,,,,,
Kampala,Kampala District,Metropolitan Health Clinic,1,0,,,,
South Central,Wakiso District,Metropolitan Health Link,1,1,,,,
West Nile,Moyo District,Metu Health Centre III,1,1,,,,
North Central,Mukono District,MF Health Centre,1,1,,,,
North Central,Kayunga District,Mic Clinic,,,,,,
Teso,Kumi District,Michoes Medical Health Centre IV,1,1,,,,
South Central,Rakai District,Michungiro Health Centre II,1,1,9,10,10,28.3
West Nile,Arua City,Micu Health Centre II,1,1,0,6,6,19
Tooro,Kyenjojo District,Midas Torch Health Centre IV,1,1,54,13,13,12.9
Teso,Kumi District,Midas Touch Health Centre IV,1,1,,,,
Kampala,Kampala District,Middle East Bugolobi Hospital and Diagnostic Centre,1,0,,0,0,
West Nile,Yumbe District,Midigo Health Centre IV,1,1,-11,62,62,122.9
Kampala,Kampala District,Midland Consultion Clinic,,,,,,
Lango,Lira City,Midtown Imaging Centre,1,1,,,,
Kampala,Kampala District,Midway Medical Clinic,1,0,,,,
Bukedi,Tororo District,Mifumi Health Centre III,1,1,36,14,14,5.6
North Central,Nakaseke District,Mifunya Health Centre III,1,1,-15,15,,6
South Central,Wakiso District,Migadde Health Centre II,1,1,16,38,35,8.9
Tooro,Kyegegwa District,Migamba Health Centre II,1,1,-16,106,106,-127.7
Teso,Soroti District,Mighty Care Medical Health Centre II,1,1,38,20,20,26.4
Ankole,Sheema District,Migina Health Centre II,1,1,-57,11,11,-12
Tooro,Kyegegwa District,Migongwe Health Centre II,1,1,-48,135,134,7.8
Ankole,Isingiro District,Migyera Health Centre II,1,1,-33,4,4,
Bunyoro,Masindi District,Mihembero Health Centre II,1,1,-23,16,16,41.3
Kampala,Kampala District,Miiro Clinic,,,,,,
South Central,Wakiso District,Mildmay Uganda Hospital,1,1,22,21,21,24
Kampala,Kampala District,Milenium Medical Services,,,,,,
Kampala,Kampala District,Milimira Health Facility Centre,,,,,,
Kampala,Kampala District,Millennium Health Services,,,,,,
Kampala,Kampala District,Millennium Mediacl & Laboratory Service,,,,,,
Kampala,Kampala District,Milly Medical Clinical,,,,,,
Kampala,Kampala District,Milne Medical Centre,1,1,-33,16,16,10
Kampala,Kampala District,Milo Clinic Kampala,1,0,,,,
Kampala,Kampala District,Mily and Balongo Health Care,,,,,,
South Central,Wakiso District,Mimach Medical Clinic,,,,,,
Lango,Oyam District,Minakulu (Aceno) Health Centre II,1,1,18,37,37,
Acholi,Omoro District,Minakulu (Bobi) Health Centre II,1,1,0,32,32,-70
Lango,Oyam District,Minakulu Health Centre III,1,1,6,60,60,30.8
Busoga,Bugweri District,Minani Health Centre III,1,1,33,8,8,38
Kampala,Kampala District,Mini Mayo Clinic,1,0,,,,
Kampala,Kampala District,Mini Mayo Healthy Clinic,1,1,,,,
South Central,Kyotera District,Minziiro Health Centre II,1,1,50,10,10,
Kampala,Kampala District,Miracle Home Care Clinic,,,,,,
Bunyoro,Kakumiro District,Miracle Medical Centre,,,,,,
Tooro,Bundibugyo District,Miracle Medical Centre Health Centre II,1,1,,,,
Tooro,Bundibugyo District,Mirambi Health Centre III,1,1,-59,65,65,17.3
South Central,Bukomansimbi District,Mirambi Health Centre III,1,1,4,23,23,7.1
South Central,Kalungu District,Mirembe (Bukulula) Health Centre III,,,,,,
South Central,Wakiso District,Mirembe (Nangabo) Health Centre III,1,1,-16,140,126,-0.53
South Central,Kyotera District,Mirembe Clinic,1,1,,,,
North Central,Kyankwanzi District,Mirembe Clinic,1,1,,,,
