Region,District,HF,Expected reports,Actual reports,dropout rate,DPT3,PCV 3,wastage rate
Kampala,Kampala District,Lucky Domicilliary Clinic,,,,,,
Bukedi,Pallisa District,Lucky Medical Centre II,,,,,,
Kampala,Kampala District,Lucoheco Health Centre,3,2,,,,
Bunyoro,Kikuube District,Lucy Bisereko Health Centre III,3,1,13,68,69,25.5
Kampala,Kampala District,Lucy Medical Clinic,,,,,,
West Nile,Koboko District,Ludara Health Centre III,3,2,33,63,63,-255.6
South Central,Wakiso District,Lufuka Valley Health Centre III,3,2,2,85,90,
Busoga,Namayingo District,Lugala Community Health Centre II,,,,,,
Busoga,Namayingo District,Lugala Health Centre II,3,3,13,97,97,-30.8
North Central,Kayunga District,Lugasa Health Centre III,3,2,40,74,67,21.1
North Central,Buikwe District,Lugazi II Health Centre II,3,1,57,12,11,1.5
North Central,Buikwe District,Lugazi Med Care Clinic,,,,,,
North Central,Buikwe District,Lugazi Mission Health Centre II,3,2,34,62,66,
North Central,Buikwe District,Lugazi Muslim Health Centre III,3,3,9,169,169,24.1
North Central,Buikwe District,Lugazi Police Health Centre II,3,2,,,,
North Central,Buikwe District,Lugazi Prisons Health Centre II,3,3,,,,
North Central,Buikwe District,Lugazi Rural Clinic,3,2,,,,
North Central,Buikwe District,Lugazi Scoul Hospital,3,2,40,34,34,23
North Central,Luwero District,Lugo Health Centre III,3,2,0,37,37,-4.5
Kampala,Kampala District,Lugogo General Clinic,,,,,,
Acholi,Gulu District,Lugore Health Centre II,3,3,42,35,35,2.7
Acholi,Gulu District,Lugore Prisons Health Centre II,3,3,,,,
South Central,Wakiso District,Lugungudde Health Centre II,3,2,-18,60,43,-2057.1
South Central,Sembabule District,Lugusulu Health Centre III,3,3,19,82,82,9.2
Bukedi,Busia District,Luhaire Clinic,3,2,,,,
South Central,Kalangala District,Lujjabwa Island Health Centre II,3,2,11,17,17,-6
Acholi,Omoro District,Lujorongole Health Centre II,3,2,0,32,32,18.3
Bunyoro,Kibaale District,Luka Health services clinic,3,2,42,18,18,
North Central,Buvuma District,Lukale Health Centre III,3,2,5,158,158,20.7
South Central,Kalungu District,Lukaya Health Centre III,3,2,-29,133,133,-39.2
South Central,Kalungu District,Lukaya Prisons Health Centre II,3,3,,,,
South Central,Rakai District,Lukerere Health Centre II,3,3,7,62,62,38.4
Acholi,Gulu District,Lukodi Health Centre II,3,2,33,18,18,12.9
Acholi,Agago District,Lukole Health Centre III,3,2,-5,80,80,5
Busoga,Jinja City,Lukolo Health Centre III,3,2,-7,46,46,-115
North Central,Luwero District,Lukomera Maternity Clinic,3,3,-11,71,71,-1.5
Acholi,Omoro District,Lukwir Health Centre II,3,2,0,11,11,-514.3
Acholi,Kitgum District,Lukwor Health Centre II,3,3,3,59,63,-8.8
North Central,Mityana District,Lulagala Health Centre III,3,2,-118,24,24,61.2
South Central,Kalangala District,Lulamba Health Centre III,3,3,6,29,29,20.2
Bugisu,Bududa District,Lulubi Maternity Clinic,3,2,,,,
Busoga,Kamuli District,Lulyambuzi Health Centre III,3,2,7,57,57,40
Acholi,Nwoya District,Lulyango Health Centre II,3,3,-2,62,62,2.1
Bukedi,Busia District,Lumino Foc Rev Health Centre III,3,3,21,30,30,1110
Bukedi,Busia District,Lumino Health Centre III,3,2,27,102,102,-54.3
Busoga,Jinja District,Lumuli Health Centre II,3,1,12,15,15,-7.3
South Central,Wakiso District,Luna Health Care Clinic,3,2,,,,
Bunyoro,Kiryandongo District,Lunar Clinic,3,2,,,,
Kampala,Kampala District,Lungujja- Kosovo Community Health Centre,3,2,,,,
Bukedi,Busia District,Lunyo Health Centre III,3,3,3,225,224,-2.8
West Nile,Obongi District,Luru Health Centre III,3,3,,0,0,
West Nile,Koboko District,Lurujo Health Centre III,3,3,17,63,62,9.5
North Central,Mityana District,Lusaalira Health Centre II,3,2,-23,27,27,-15.9
Kampala,Kampala District,Lusaka General Clinic Care,,,,,,
Kampala,Kampala District,Lusaka Li Fe Care Clinic,,,,,,
South Central,Wakiso District,Lutamaguzi Health Centre II,,,,,,
North Central,Luwero District,Luteete Health Centre II,3,2,-92,48,40,
South Central,Kalungu District,Lutengo Muslim Health Centre II,3,3,,,,
Acholi,Lamwo District,Lututuru Prisons Health Centre II,3,1,,,,
North Central,Luwero District,Lutuula Health Centre II,3,3,5,39,38,6.5
Busoga,Luuka District,Luuka Community Health Centre II,3,2,,,,
North Central,Luwero District,Luwero General Hospital,3,3,9,526,461,-324.4
North Central,Nakasongola District,Luwero Industries Ltd Clinic,3,2,-50,6,6,
North Central,Luwero District,Luwero Police Clinic,3,2,,,,
South Central,Wakiso District,Luwunga Barracks Health Centre III,3,2,27,41,44,263.2
South Central,Lwengo District,Luyembe Health Centre II,3,2,2,60,52,
South Central,Bukomansimbi District,Luyitayita Health Centre III,3,3,-25,80,80,2.7
Busoga,Kamuli District,Luzinga Flep Health Centre II,3,2,-55,31,31,13.8
Busoga,Kamuli District,Luzinga Health Centre II,3,1,52,12,12,4
Kampala,Kampala District,Luzira Care Clinic,3,0,,,,
Kampala,Kampala District,Luzira Community Clinic,,,,,,
Kampala,Kampala District,Luzira Health Centre II,3,0,,,,
West Nile,Yumbe District,Luzira Health Centre III,3,2,67,1,1,95.6
Kampala,Kampala District,Luzira Remand Prisons Health Centre III,3,3,,,,
Kampala,Kampala District,Luzira Staff Clinic,3,3,18,103,103,-15.4
Kampala,Kampala District,Luzira Upper Prisons Health Centre III,3,3,,,,
Kampala,Kampala District,Luzira Women Prisons Health Centre III,3,3,,0,0,
Bugisu,Mbale City,Lwaaso Health Centre II,3,3,33,26,26,-27.6
South Central,Rakai District,Lwabakooba Health Centre II,3,3,6,68,67,-16.1
South Central,Kalungu District,Lwabenge Prisons Health Centre II,,,,,,
North Central,Nakasongola District,Lwabyata Health Centre II,3,2,5,21,20,22.2
North Central,Buvuma District,Lwajje Health Centre III,3,2,-2,175,175,-42.8
South Central,Rakai District,Lwakalolo Health Centre II,3,2,5,20,20,13
Busoga,Luuka District,Lwaki Health Centre II,3,3,6,44,44,30.5
Bukedi,Tororo District,Lwala Health Centre II,3,2,20,66,66,
Teso,Kalaki District,Lwala Hospital,3,3,0,104,104,10
South Central,Rakai District,Lwamaggwa Govt Health Centre III,3,3,30,19,18,12.5
South Central,Rakai District,Lwamaggwa Ngo Health Centre II,3,2,21,15,12,-30
South Central,Rakai District,Lwamaggwa Prisons Health Centre II,3,3,,,,
North Central,Kiboga District,Lwamata Health Centre III,3,2,-2,91,91,-28
South Central,Kyotera District,Lwamba Health Centre II,3,3,4,48,49,
North Central,Nakasongola District,Lwampanga Health Centre III,3,3,-13,77,69,-19.9
Busoga,Jinja City,Lwanda Health Centre II,3,2,-3,30,30,60.3
South Central,Rakai District,Lwanda Health Centre III,3,3,7,99,98,11.5
North Central,Kassanda District,Lwangiri Health Centre II,3,2,53,15,15,-900
Bugisu,Mbale District,Lwangoli Health Centre III,3,3,14,95,95,-355.9
Bugisu,Manafwa District,Lwanjusi Health Centre III,3,2,-7,142,142,2.4
South Central,Kyotera District,Lwankoni Health Centre III,3,2,-3,70,59,16.3
Busoga,Namutumba District,Lwatama Health Centre II,3,2,10,54,54,0
Kampala,Kampala District,Lwazi Clinic,3,3,,,,
South Central,Sembabule District,Lwebitakuli Gvt Health Centre III,3,3,38,68,68,7.5
South Central,Sembabule District,Lwebitakuli Ngo Health Centre III,3,2,-5,105,105,15.1
South Central,Sembabule District,Lwebitakuli Prisons Health Centre II,3,2,,,,
South Central,Rakai District,Lwembajjo Health Centre II,3,3,-28,41,41,56.2
North Central,Mubende District,Lwemikomago Health Centre III,3,2,-1,77,77,
South Central,Sembabule District,Lwemiyaga Health Centre III,3,2,33,41,41,54.7
South Central,Sembabule District,Lwemiyaga Prisons Health Centre II,3,2,,,,
South Central,Lwengo District,Lwengenyi Health Centre II,3,3,10,66,65,-92
South Central,Lwengo District,Lwengo Health Centre IV,3,2,0,109,109,-7
South Central,Lwengo District,Lwengo Kasaana Health Centre II,3,2,-23,75,75,1.8
South Central,Lwengo District,Lwengo Kinoni Govt Health Centre III,3,3,13,251,269,-294
South Central,Lwengo District,Lwengo Prisons Health Centre II,3,3,,,,
South Central,Rakai District,Lwensinga Health Centre II,3,3,30,54,55,20
South Central,Mpigi District,LY Medical Centre,3,2,,,,
Tooro,Kamwenge District,Lyakahungu Medical Health Centre III,3,3,,,,
South Central,Lyantonde District,Lyakajura Health Centre III,3,2,29,40,40,5
Tooro,Kasese District,Lyakirema  Health Centre II,3,2,,,,
Bukedi,Budaka District,Lyama Health Centre III,3,2,25,97,97,28.3
Bukedi,Kibuku District,Lyama Health Centre III,3,2,44,45,57,15.9
South Central,Lyantonde District,Lyantonde General Hospital,3,2,26,117,117,5.4
South Central,Lyantonde District,Lyantonde Muslim Health Centre III,3,3,18,51,51,12.6
South Central,Wakiso District,Lydda Medical Services Health Centre II,,,,,,
South Central,Wakiso District,Lynaset Health Care Services Health Centre III,3,2,0,68,68,
South Central,Wakiso District,M & C Medical Clinic,,,,,,
Kampala,Kampala District,M & H Medical Clinic,3,1,,,,
Kampala,Kampala District,M and S General Clinic,3,0,,,,
Kampala,Kampala District,M Health Centre,,,,,,
Kampala,Kampala District,M M Clinic (Bukesa),,,,,,
Kampala,Kampala District,M M Clinic (Kanyanya),3,0,,,,
Kampala,Kampala District,M&C Medical Centre,3,0,,,,
Kampala,Kampala District,M&G Medical Clinic,,,,,,
South Central,Wakiso District,M&M Medical Clinic,,,,,,
Kampala,Kampala District,M.A.A Medical Centre,,,,,,
South Central,Wakiso District,M.K Domicilliary Clinic,3,2,7,26,33,
South Central,Wakiso District,M.S Health Services Health Centre II,,,,,,
Kampala,Kampala District,M2 African Medical Centre,,,,,,
Kampala,Kampala District,Ma Treatment Centre,,,,,,
West Nile,Adjumani District,Maaji A Health Centre II,3,2,42,15,15,13
West Nile,Adjumani District,Maaji B Health Centre II,3,3,12,23,23,19.6
West Nile,Adjumani District,Maaji C Health Centre II,3,2,-8,14,14,43.5
Kampala,Kampala District,Maam Cynthia Medical Centre,3,0,,,,
North Central,Luwero District,Maama Alive Domiciliary Clinic,3,3,,,,
South Central,Wakiso District,Maama Maria Maternity Health Centre III,3,2,4,109,118,
South Central,Wakiso District,Maama Medical Clinic,,,,,,
North Central,Mukono District,Maama Nevis Memorial Clinic,3,2,,,,
North Central,Mityana District,Maama Norah Health Centre II,3,2,23,34,34,-1900
South Central,Wakiso District,Maama Thereza Domicilliary Clinic,3,2,,,,
North Central,Mityana District,Maanyi Health Centre III,3,2,0,60,60,-41.5
Kampala,Kampala District,Maawa Domiciliary,,,,,,
Bunyoro,Kagadi District,Mabaale Health Centre III,3,2,23,119,109,
Ankole,Sheema District,Mabaare Health Centre III,3,2,-26,63,63,26.9
Tooro,Kamwenge District,Mabale NGO Health Centre II,3,2,-27,38,34,21.7
Tooro,Kyenjojo District,Mabale Tea Factory Health Centre II,3,2,60,2,6,0
Tooro,Kyenjojo District,Mabiira Polycare Clinic,3,2,,,,
Ankole,Mbarara District,Mabira Health Centre II,3,3,-9,38,43,11.8
Kampala,Kampala District,Mabirizi Nursing Home,,,,,,
Ankole,Isingiro District,Mabona Health Centre III,3,3,30,53,53,16.5
Ankole,Ibanda District,Mabonwa Health Centre II,3,2,-44,26,26,-235
Kampala,Kampala District,Mackey Road Clinic,3,0,,,,
Teso,Kalaki District,Maddona Health Centre II,3,2,,,,
South Central,Gomba District,Maddu Health Centre IV,3,3,2,171,171,5.2
Teso,Soroti City,Madera Ngo Health Centre II,3,2,25,6,6,72.7
Acholi,Lamwo District,Madi Kiloch Health Centre II,3,2,38,8,8,-36
Acholi,Lamwo District,Madi-Opei Health Centre IV,3,2,-12,73,65,582.5
South Central,Wakiso District,Madina Domicilliary Clinic,,,,,,
South Central,Wakiso District,Madsil Domicilliary Clinic,3,2,18,9,9,
North Central,Mubende District,Madudu Health Centre III,3,2,6,157,157,
West Nile,Obongi District,Maduga Health Centre II,3,2,-45,55,55,-65
Bukedi,Butaleja District,Madungha Health Centre II,3,3,-16,81,81,-19.8
Busoga,Jinja City,Mafubira Health Centre II,3,2,24,72,72,22.9
Kigezi,Kanungu District,Mafuga Health Centre II,3,2,39,20,20,-110
South Central,Rakai District,Magabi Health Centre II,3,2,-34,55,58,14.7
Busoga,Mayuge District,Magada Health Centre II,3,2,-16,108,108,58.3
Busoga,Namutumba District,Magada Health Centre III,3,2,1,70,70,-42
Kampala,Kampala District,Magajo Family Clinic,,,,,,
North Central,Mityana District,Magala Health Centre III,3,2,9,73,73,5.8
North Central,Mityana District,Magala Prisons Clinic,,,,,,
Bugisu,Namisindwa District,Magale (UCMB) Health Centre IV,3,2,5,269,276,15.9
Bugisu,Namisindwa District,Magale Hans Health Centre III,3,1,-10,298,298,-10.7
Busoga,Mayuge District,Magamaga Barracks Health Centre III,3,3,54,26,26,33.9
Busoga,Mayuge District,Magamaga Domiciliary Clinic,3,2,0,8,8,93.9
Busoga,Jinja District,Magamaga Health Centre III,3,2,-43,106,112,16.8
South Central,Wakiso District,Maganjo Family Care Clinic,,,,,,
South Central,Wakiso District,Maganjo Health Centre II,3,2,2,147,142,29
South Central,Wakiso District,Maganjo Medical Centre,3,2,,,,
West Nile,Adjumani District,Magburu Health Centre II,3,2,10,9,9,78.4
Kampala,Kampala District,Mageo Med Care Centre,,,,,,
Tooro,Kasese District,Maghoma Health Centre II,3,3,21,34,34,-7.5
South Central,Wakiso District,Magigye Medical Health Centre II,,,,,,
South Central,Wakiso District,Magoggo Health Centre II,3,2,-6,122,112,
Busoga,Iganga District,Magogo Health Centre II,3,3,6,135,135,
Bukedi,Tororo District,Magola Health Centre II,3,3,-31,34,34,60.5
Teso,Katakwi District,Magoro Health Centre III,3,3,-19,278,272,-4.1
South Central,Kyotera District,Magulu Gantungo Drug Shop,,,,,,
Kampala,Kampala District,Magumba Maternity Clinic,,,,,,
Kampala,Kampala District,Magumba Maternity Clinic,3,0,,,,
Kampala,Kampala District,Magwel Physiotherapy,,,,,,
Tooro,Kasese District,Mahango Health Centre III,3,3,25,47,42,59.7
Tooro,Kamwenge District,Mahani Health Centre II,3,2,0,14,14,
Tooro,Kamwenge District,Mahega Health Centre II,3,2,22,14,14,
Kampala,Kampala District,Maheshwari Health Care Centre,3,3,,,,
Ankole,Ntungamo District,Mahooro Medical Centre,,,,,,
Tooro,Kitagwenda District,Mahyoro Health Centre III,3,3,16,240,240,-10.4
Bunyoro,Masindi District,Maiha Prisons Health Centre II,3,1,,,,
Busoga,Mayuge District,Maina Health Centre II,3,3,28,82,82,25.8
Busoga,Mayuge District,Mairinya Health Centre II,3,2,6,30,30,
Bunyoro,Kibaale District,Maisuka Health Centre III,3,2,-4,102,102,-4.3
North Central,Mubende District,Majani Chai Health Centre,3,1,,,,
Bukedi,Busia District,Majanji Health Centre III,3,3,3,114,114,22.5
Kampala,Kampala District,Majex Medical Centre,,,,,,
Bukedi,Tororo District,Makawari Health Centre II,3,3,-36,30,30,
Kampala,Kampala District,Makayi Medical Centre,3,0,,,,
Kampala,Kampala District,Makerere University Business School (MUBS) Clinic,,,,,,
Kampala,Kampala District,Makerere University Hospital,3,2,40,6,6,10
Kampala,Kampala District,Makerere University Walter Reed Clinic,3,3,,,,
Bugisu,Mbale District,Makhai Health Centre II,3,3,-3,101,121,-45.3
Bugisu,Mbale District,Makhonje Health Centre III,3,3,3,67,67,5.7
North Central,Buikwe District,Makindu Health Centre III,3,3,10,128,128,19.8
Kampala,Kampala District,Makindye Barracks Health Centre III,3,2,24,25,25,5
Kampala,Kampala District,Makindye Domicilliary Clinic,3,2,0,20,20,0
Kampala,Kampala District,Makindye Maternity Home,3,2,4,22,26,0
Kampala,Kampala District,Makindye Medical Centres,3,0,,,,
Kampala,Kampala District,Makindye Police Health Centre III,,,,,,
Kigezi,Kanungu District,Makiro Health Centre III,3,3,11,25,25,43.1
North Central,Kassanda District,Makokoto Health Centre III,3,2,23,59,59,18.4
South Central,Lwengo District,Makondo Health Centre III,3,2,-6,72,81,-58.6
North Central,Buikwe District,Makonge Health Centre III,3,2,34,102,104,25.8
North Central,Kassanda District,Makonzi (Mubende) Health Centre II,3,2,50,6,7,0
South Central,Masaka District,Makonzi Health Centre II,3,2,3,28,28,-11.4
South Central,Wakiso District,Makooba Clinic,3,0,,,,
South Central,Wakiso District,Makooba Health Care Clinic,,,,,,
South Central,Sembabule District,Makoole Health Centre II,3,2,12,114,114,730
South Central,Bukomansimbi District,Makukuulu Health Centre III,3,3,4,128,128,9.3
Kampala,Kampala District,Makula Health Services,,,,,,
North Central,Luwero District,Makulubita Health Centre III,3,3,18,71,71,18
North Central,Luwero District,Makulubita Prisons Clinic,3,0,,,,
South Central,Wakiso District,Makutano Medical Centre,3,1,,,,
Busoga,Bugweri District,Makuutu Health Centre III,3,3,6,129,130,24.5
Bukedi,Tororo District,Malaba Health Centre III,3,3,18,185,185,-46.8
Bukedi,Tororo District,Malaba Police Health Centre II,3,2,,,,
Kampala,Kampala District,Malalikka Medical Centre,3,2,,,,
West Nile,Obongi District,Malanga Health Centre II,3,2,-13,26,26,-20
North Central,Mityana District,Malangala Health Centre III,3,2,23,79,84,38.7
North Central,Mubende District,Malaria Eradication Project Health Centre II,3,2,,,,
Kampala,Kampala District,Malcom Clinic (Kisaasi),3,3,,,,
Kampala,Kampala District,Malcom Health Care (Kabowa),3,2,,,,
Kampala,Kampala District,Malcom Health Care (Kyanja),3,2,26,17,20,0
Kampala,Kampala District,Malcom Health Care Centre (Kibuye II),3,2,58,8,17,
Kampala,Kampala District,Malcom Health Care Centre (Ntinda),,,,,,
Kampala,Kampala District,Malcom Health Centre (Kabowa),,,,,,
Kampala,Kampala District,Malcom Medical Centre (Kasubi),,,,,,
Kampala,Kampala District,Malcom Medical Centre (Kawaala),3,0,,,,
South Central,Wakiso District,Malcom Medical Health Centre III,3,1,-33,20,20,
Bunyoro,Kikuube District,Malembo Health Centre III,3,2,6,31,31,4.9
Teso,Bukedea District,Malera Health Centre III,3,2,8,152,152,7.9
Tooro,Kamwenge District,Malere Health Centre II,3,3,3,209,209,38.6
Tooro,Kasese District,Mali-Mali Medical Centre,3,2,,,,
Tooro,Kasese District,Maliba Health Centre III,3,3,32,53,53,-10.9
Tooro,Kasese District,Maliba Prisons Health Centre II,,,,,,
Ankole,Buhweju District,Malinde Health Centre II,3,2,,,,
Bukedi,Tororo District,Maliri Health Centre II,3,2,9,43,43,40.5
Busoga,Mayuge District,Malongo Health Centre III,3,2,3,920,920,
South Central,Wakiso District,Maltel Medical Clinic,,,,,,
Busoga,Kamuli District,Malugulya Health Centre II,3,2,42,34,34,-10.5
Bugisu,Mbale City,Malukhu Health Centre III,3,3,16,88,259,-43.2
Acholi,Omoro District,Mama Chef Clinic,,,,,,
Lango,Oyam District,Mama Jovanh Drugshop,,,,,,
South Central,Wakiso District,Mama Medical Care Clinic,,,,,,
South Central,Gomba District,Mamba Health Centre III,3,3,-18,40,40,10
Ankole,Isingiro District,Mamu Medical Centre Health Centre II,3,3,,,,
Kampala,Kampala District,Man Clinic,,,,,,
Kampala,Kampala District,Mani Fold Medical Centre Kubiri,3,0,,,,
Tooro,Bundibugyo District,Mantoroba Health Centre II,3,2,3,122,122,1.8
North Central,Mukono District,Maol Health Services,3,2,,,,
North Central,Kayunga District,Mapeera Health Centre II,,,,,,
Busoga,Bugweri District,Mapp Medical Centre,,,,,,
Lango,Oyam District,Mar En Rwot Health Centre II,3,1,,,,
West Nile,Maracha District,Maracha Health Centre IV,3,3,0,222,222,-20.3
Bukedi,Budaka District,Marah Health Centre II,,,,,,
Tooro,Fort Portal City,Maranatha Health Centre III,3,3,,,,
South Central,Wakiso District,Maranatha Medical Clinic,,,,,,
Bunyoro,Kikuube District,Maratatu D Health Centre III,3,2,,,,
Bunyoro,Kikuube District,Maratatu Health Centre III,3,2,,,,
Kampala,Kampala District,Marc Medical Centre,3,1,,,,
Kigezi,Kisoro District,Maregamo Health Centre III,3,2,22,28,28,8.5
Kampala,Kampala District,Margaret Dormicilliary Clinic,3,1,,,,
South Central,Wakiso District,Margret Medical Health Centre III,3,2,,,,
South Central,Wakiso District,Margrets Care Clinic,,,,,,
South Central,Wakiso District,Margros Medical Clinic,,,,,,
Bukedi,Tororo District,Mari Beri Clinic,3,1,,,,
South Central,Butambala District,Maria Assumpta Health Centre III,3,3,-87,15,15,26.7
Kampala,Kampala District,Maria Asumputa Domicilliary Clinic,3,1,,,,
Kampala,Kampala District,Maria Hana Health Care Ntinda,,,,,,
Kampala,Kampala District,Maria Health Care,3,3,,,,
Kampala,Kampala District,Maria Healthcare Clinic,,,,,,
South Central,Sembabule District,Maria K MC Clinic,,,,,,
Kampala,Kampala District,Maria Kiwamirembe Clinic,3,1,,,,
Busoga,Iganga District,Maria Medical Centre,3,1,,,,
Kampala,Kampala District,Maria Thereza Domiciliary Clinic,3,2,12,30,35,2.9
South Central,Masaka City,Maria-al-kaabi Health Centre III,3,3,100,0,1,-50
Kampala,Kampala District,Mariam Domiciliary Clinic,3,1,,,,
South Central,Masaka City,Mariam Domicilliary,3,2,-7,29,29,-8.6
Kampala,Kampala District,Mariam Med & Lab,3,0,,,,
Kampala,Kampala District,Mariam Medical Care Clinic,,,,,,
South Central,Wakiso District,Mariam Medical Clinic,,,,,,
Kampala,Kampala District,Mariam Medical Clinic (Bwaise III),3,2,,,,
Kampala,Kampala District,Mariam Medical Clinic (Kawempe I),,,,,,
North Central,Mukono District,Mariam Nursing Home,3,2,,,,
North Central,Luwero District,Mariana Maternity Home,3,3,,,,
Kampala,Kampala District,Marie Stopes Uganda (Kawempe),3,2,,,,
Kampala,Kampala District,Marie Stopes Uganda (Lugogo),3,1,,,,
Kampala,Kampala District,Marie Stopes Uganda (Namuwongo),3,2,,,,
West Nile,Arua City,Marie Stopes Uganda Arua Health Centre II,3,3,83,1,2,87.8
South Central,Wakiso District,Marie Stopes Uganda Bweyogerere Health Centre II,3,2,,,,
Tooro,Fort Portal City,Marie Stopes Uganda Fort Portal Health Centre II,3,2,,,,
Acholi,Gulu City,Marie Stopes Uganda Gulu Health Centre II,3,3,,0,0,
Busoga,Jinja City,Marie Stopes Uganda Jinja Health Centre II,,,,,,
Kigezi,Kabale District,Marie Stopes Uganda Kabale Health Centre II,3,3,,,,
South Central,Wakiso District,Marie Stopes Uganda Kira Health Centre II,3,0,,,,
Lango,Lira City,Marie Stopes Uganda Lira Health Centre II,3,2,,,,
South Central,Masaka City,Marie Stopes Uganda Masaka,3,3,,0,0,
Bugisu,Mbale City,Marie Stopes Uganda Mbale Health Centre II,3,3,,,,
Ankole,Mbarara City,Marie Stopes Uganda Mbarara Health Centre II,3,0,,,,
Teso,Soroti City,Marie Stopes Uganda Soroti Health Centre II,3,2,,,,
Bukedi,Tororo District,Marie Stopes Uganda Tororo Health Centre II,3,1,,,,
Bunyoro,Hoima City,Marie stops Health Centre II,3,0,,,,
Kampala,Kampala District,Marina Dental Care,3,1,,,,
North Central,Buikwe District,Marina Medical Centre,,,,,,
Bunyoro,Buliisa District,Marine Military Health Centre III,3,2,,,,
North Central,Luwero District,Marion Yamba Medical Centre,3,2,15,33,31,
Kampala,Kampala District,Marita Dom. Clinic,,,,,,
Kampala,Kampala District,Market Street Medical Cenntre,3,0,,,,
Busoga,Jinja City,Maro Clinic,,,,,,
North Central,Mukono District,Marocord Health centre,3,2,,,,
Kampala,Kampala District,Maroon Clinic,,,,,,
Kampala,Kampala District,Marry Heart Clinic,,,,,,
Kampala,Kampala District,Mars Medic Al Centre,,,,,,
South Central,Masaka City,Martha Allied Clinic,,,,,,
Kampala,Kampala District,Martyr'S Family Clinic,3,0,,,,
Kampala,Kampala District,Martyr's Family Clinic and Maternity Home (Gaba),3,2,22,28,29,0
Kampala,Kampala District,Martyrs Clinic and Maternity Centre,,,,,,
Lango,Oyam District,Martyrs Medical Clinic,3,1,,,,
Kampala,Kampala District,Martys Maternity,3,2,-50,63,61,5.9
Kigezi,Rukungiri District,Marumba Health Centre II,3,3,0,3,3,20
Lango,Apac District,Maruzi Prisons Clinic,,,,,,
Kampala,Kampala District,Marvin Allied Clinic,,,,,,
Kampala,Kampala District,Mary Clinic (Rubaga),,,,,,
Acholi,Pader District,Mary Immaculate Health Centre II,,,,,,
Ankole,Ntungamo District,Mary Queen Of Heaven Community Medical Centre,3,2,,,,
Acholi,Gulu City,Mary Queen Of Peace Health Centre III,3,3,3,36,36,47.4
South Central,Wakiso District,Mary's Medical Care Unit Health Centre II,,,,,,
West Nile,Adjumani District,Maryland Kocoa Health Centre III,3,3,9,163,163,-111.3
Kampala,Kampala District,Mas Medical Clinic,3,2,,,,
Kampala,Kampala District,Masaba Consultative Clinic,,,,,,
Bukedi,Busia District,Masafu General Hospital,3,3,1,317,317,2
Bukedi,Busia District,Masafu Prisons Health Centre II,3,2,,,,
South Central,Wakiso District,Masajja Dental Clinic,,,,,,
South Central,Wakiso District,Masajja Kyabagu Health Centre III,3,2,25,67,67,-57.5
South Central,Wakiso District,Masajja Nursing Home Health Centre III,3,2,5,71,78,
North Central,Kayunga District,Masaka Health Services Health Centre II,3,3,,,,
South Central,Masaka City,Masaka Municipal Clinic,3,2,-26,230,1727,-107.8
South Central,Masaka City,Masaka Police Health Centre III,3,3,67,15,15,65.1
South Central,Masaka City,Masaka Prisons Health Centre III,3,3,-8,28,28,
South Central,Masaka City,Masaka Regional Blood Bank,,,,,,
South Central,Masaka City,Masaka Regional Referral Hospital,3,2,22,253,253,1.9
South Central,Masaka City,Masaka Women Prisons Health Centre II,3,3,,,,
South Central,Masaka City,Masaka-Ssaza Prisons Health Centre II,3,3,,,,
Kampala,Kampala District,Mascot Medical Clinic,3,0,,,,
Busoga,Kamuli District,Mase Medical Health Centre II,3,2,,,,
Busoga,Jinja City,Masese Danida Health Centre II,3,2,29,110,104,
Busoga,Jinja City,Masese III Health Centre II,3,2,,,,
Busoga,Jinja City,Masese Port Health Centre II,3,2,-86,13,13,38.8
Bugisu,Kapchorwa District,Masha Clinic,3,3,,,,
Bunyoro,Masindi District,Masindi General Hospital,3,2,25,257,257,-20.9
Bunyoro,Masindi District,Masindi Kitara Medical Centre,3,2,22,53,53,17.8
Bunyoro,Masindi District,Masindi Main Prisons Health Centre III,3,3,,,,
Bunyoro,Masindi District,Masindi Military Barracks Health Centre,3,3,58,24,24,-9.7
Bunyoro,Masindi District,Masindi Police Barracks Health Centre II,3,2,,,,
Bunyoro,Kiryandongo District,Masindi Port Health Centre III,3,3,-2,61,61,-105.4
Bunyoro,Masindi District,Masindi Women Prisons Health Centre III,3,3,,,,
Bugisu,Bulambuli District,Masira Health Centre III,3,3,-6,56,71,-300
Bugisu,Sironko District,Masiyompo Health Centre III,3,2,0,6,6,0
West Nile,Arua City,Masjid Noor Health Centre III,,,,,,
Busoga,Mayuge District,Masolya Health Centre III,3,2,-47,63,63,50.3
South Central,Wakiso District,Masooli School Medical Clinic,,,,,,
Kampala,Kampala District,Mass Medical Centre,,,,,,
North Central,Kyankwanzi District,Massodde Social Service Health Centre II,3,2,-70,17,11,57.8
South Central,Kyotera District,Master Cares Bethlehem Community Hospital,3,2,-44,26,26,-41.3
Bunyoro,Masindi District,Master Doctor Clinic,3,2,,,,
Kampala,Kampala District,Masters medical Centre,3,2,100,,,
Kigezi,Rukungiri District,Masya Health Centre II,3,3,30,28,28,-130
Kigezi,Rukungiri District,Masya Ngo Health Centre II,3,3,-36,15,17,
Bunyoro,Kibaale District,Matale Health Centre III,3,2,12,128,127,190.2
Kigezi,Kanungu District,Matanda Health Centre III,3,3,4,49,49,
South Central,Sembabule District,Mateete Health Centre III,3,3,24,195,195,19.3
South Central,Sembabule District,Mateete Prisons Health Centre II,3,2,,,,
